NAME,ENAME,CODE,ADDRESS,X,Y
渭南市,Weinan,610500000000,陕西省,109.502882,34.499381
延安市,Yan'an,610600000000,陕西省,109.49081,36.596537
汉中市,Hanzhong,610700000000,陕西省,107.028621,33.077668
榆林市,Yulin,610800000000,陕西省,109.741193,38.290162
安康市,Ankang,610900000000,陕西省,109.029273,32.6903
商洛市,Shangluo,611000000000,陕西省,109.939776,33.868319
兰州市,Lanzhou,620100000000,甘肃省,103.823557,36.058039
嘉峪关市,Jiayuguan,620200000000,甘肃省,98.277304,39.786529
金昌市,Jinchang,620300000000,甘肃省,102.187888,38.514238
白银市,Baiyin,620400000000,甘肃省,104.173606,36.54568
天水市,Tianshui,620500000000,甘肃省,105.724998,34.578529
武威市,Wuwei,620600000000,甘肃省,102.634697,37.929996
张掖市,Zhangye,620700000000,甘肃省,100.455472,38.932897
平凉市,Pingliang,620800000000,甘肃省,106.684691,35.54279
酒泉市,Jiuquan,620900000000,甘肃省,98.510795,39.744023
庆阳市,Qingyang,621000000000,甘肃省,107.638372,35.734218
定西市,Dingxi,621100000000,甘肃省,104.626294,35.579578
陇南市,Longnan,621200000000,甘肃省,104.929379,33.388598
临夏回族自治州,Linxia,622900000000,甘肃省,103.212006,35.599446
甘南藏族自治州,Gannan,623000000000,甘肃省,102.911008,34.986354
西宁市,Xining,630100000000,青海省,101.778916,36.623178
海东市,Haidong,632100000000,青海省,102.10327,36.502916
海北藏族自治州,Haibei,632200000000,青海省,100.901059,36.959435
黄南藏族自治州,Huangnan,632300000000,青海省,102.019988,35.517744
海南藏族自治州,Hainan,632500000000,青海省,100.619542,36.280353
果洛藏族自治州,Golog,632600000000,青海省,100.242143,34.4736
玉树藏族自治州,Yushu,632700000000,青海省,97.008522,33.004049
海西蒙古族藏族自治州,Haixi,632800000000,青海省,97.370785,37.374663
银川市,Yinchuan,640100000000,宁夏回族自治区,106.278179,38.46637
石嘴山市,Shizuishan,640200000000,宁夏回族自治区,106.376173,39.01333
吴忠市,Wuzhong,640300000000,宁夏回族自治区,106.199409,37.986165
固原市,Guyuan,640400000000,宁夏回族自治区,106.285241,36.004561
中卫市,Zhongwei,640500000000,宁夏回族自治区,105.189568,37.514951
乌鲁木齐市,Urumqi,650100000000,新疆维吾尔自治区,87.617733,43.792818
克拉玛依市,Karamay,650200000000,新疆维吾尔自治区,84.873946,45.595886
吐鲁番地区,Turpan,652100000000,新疆维吾尔自治区,89.184078,42.947613
哈密地区,Kumul,652200000000,新疆维吾尔自治区,93.51316,42.833248
昌吉回族自治州,Changji,652300000000,新疆维吾尔自治区,87.304012,44.014577
博尔塔拉蒙古自治州,Bortala,652700000000,新疆维吾尔自治区,82.074778,44.903258
巴音郭楞蒙古自治州,Bayingol,652800000000,新疆维吾尔自治区,86.150969,41.768552
阿克苏地区,Aksu,652900000000,新疆维吾尔自治区,80.265068,41.170712
克孜勒苏柯尔克孜自治州,Kizilsu,653000000000,新疆维吾尔自治区,76.172825,39.713431
喀什地区,Kashgar,653100000000,新疆维吾尔自治区,75.989138,39.467664
和田地区,Hotan,653200000000,新疆维吾尔自治区,79.92533,37.110687
伊犁哈萨克自治州,Ili,654000000000,新疆维吾尔自治区,81.317946,43.92186
塔城地区,Qoqek,654200000000,新疆维吾尔自治区,82.985732,46.746301
阿勒泰地区,Altay,654300000000,新疆维吾尔自治区,88.13963,47.848393
連江縣,Lienchiang County,720100000000,台灣福建省,,
金門縣,Kimen County,720200000000,台灣福建省,,
宜蘭縣,Yilan County,730100000000,台灣,,
桃園縣,Taoyuan County,730200000000,台灣,,
新竹縣,Hsinchu County,730300000000,台灣,,
苗栗縣,Miaoli County,730400000000,台灣,,
彰化縣,Changhua County,730500000000,台灣,,
南投縣,Nantou County,730600000000,台灣,,
雲林縣,Yunlin County,730700000000,台灣,,
嘉義縣,Chiayi County,730800000000,台灣,,
屏東縣,Pingtung County,730900000000,台灣,,
台東縣,Taitung County,731000000000,台灣,,
花蓮縣,Hualien County,731100000000,台灣,,
澎湖縣,Penghu County,731200000000,台灣,,
基隆市,Keelung City,731300000000,台灣,,
新竹市,Hsinchu City,731400000000,台灣,,
嘉義市,Chiayi City,731500000000,台灣,,
台北市,Taipei City,740100000000,台北市,,
高雄市,Kaohsiung City,750100000000,高雄市,,
新北市,New Taipei City,760100000000,新北市,,
台中市,Taichung City,770100000000,台中市,,
台南市,Tainan City,780100000000,台南市,,
